x,y,station
208.8904,379.5557,1
211.2474,379.5185,0
210.7048,377.3505,0
210.2747,375.1371,0
209.9207,373.301,0
209.4488,371.1036,0
208.9316,368.892,0
208.433,367.1021,0
207.5857,364.6251,0
207.0388,363.0276,0
206.2739,360.9064,0
205.4563,358.799,0
204.5592,356.5277,0
203.9214,354.9702,0
202.941,352.7405,0
202.1794,351.2212,0
201.1999,349.1909,0
200.3387,347.1072,0
199.4464,345.0481,0
198.7052,343.3373,0
197.5728,341.197,0
196.5447,339.8647,0
194.545,338.5032,0
192.7286,338.6297,1
190.7498,339.698,0
189.1485,340.65,0
186.8261,341.2855,0
184.7964,341.5434,0
183.1159,341.6768,0
180.5361,341.4377,0
178.3824,340.9893,0
176.6146,340.4293,0
174.5631,339.4942,0
172.9183,338.6052,0
170.9609,337.4856,0
169.3211,335.9593,0
168.0871,334.8011,0
165.9449,333.3578,1
164.1615,332.8726,0
162.3162,332.5377,0
160.1514,332.669,0
158.0122,333.8056,0
156.5127,334.5698,0
154.0941,335.5387,0
152.4555,335.9687,0
150.2724,336.3529,0
148.0433,336.1724,0
145.9039,335.5129,0
144.3556,334.8533,0
142.09,333.9581,0
140.2875,333.5275,0
137.7367,333.0638,0
136.134,332.5324,0
134.0063,331.8548,0
131.8632,331.1376,0
129.9415,330.0292,0
128.6301,328.202,0
127.4221,326.5444,0
126.0742,324.7507,1
125.023,323.2108,0
123.9671,321.6607,0
122.5921,319.6426,0
121.3287,317.7881,0
120.4491,316.3665,0
119.3997,314.183,0
118.6881,312.4597,0
117.6866,310.4403,0
116.4967,308.5315,0
115.5772,307.1022,0
114.3346,305.2073,0
112.9129,303.2545,0
111.614,301.9173,0
109.7051,300.7369,0
107.4031,301.4262,0
105.7158,302.193,0
104.0192,302.9528,0
102.1092,303.7135,0
99.91927,304.2461,0
97.71265,304.6224,0
95.7482,305.1555,0
93.44958,305.9355,0
91.5985,306.157,0
89.92028,306.343,0
87.30909,306.5123,0
85.29157,306.5756,0
83.69816,306.2467,0
81.45515,306.0824,0
79.87195,305.5668,0
77.62606,303.8955,0
76.13433,302.7862,0
74.3023,301.4904,0
72.76407,300.4078,0
70.77172,299.0053,0
69.30484,297.8825,0
67.28597,296.2418,0
65.77318,295.135,0
64.38959,294.1702,0
62.56427,292.8817,0
60.20653,292.3174,0
58.74302,291.5009,0
56.96464,289.889,0
55.32413,288.35,0
53.61523,286.8872,0
52.33002,285.7921,0
50.35003,284.3768,0
48.74819,283.8943,0
46.57721,283.3849,1
44.53275,282.4733,0
42.82008,281.709,0
40.75575,280.7878,0
38.63088,279.6225,0
36.91276,278.4923,0
35.25877,277.6403,0
32.89612,277.1143,0
31.12939,276.6219,0
30.83828,274.44,0
30.6183,272.0301,0
30.50141,270.3627,0
30.61442,268.1163,0
30.6796,266.2365,1
30.61199,263.8047,0
30.20518,261.3989,0
29.66167,259.8125,0
28.74163,257.7557,0
27.86235,256.3276,0
26.19906,254.805,0
24.4598,253.3786,0
22.63719,252.0516,0
20.69509,250.9275,0
19.02253,250.6897,0
16.60265,250.5397,0
14.72964,250.6192,0
12.33652,251.0004,1
10.13683,251.4967,0
8.489929,251.8692,0
6.25614,252.2075,0
3.865123,252.6436,0
2.236359,253.0871,0
-0.1602128,253.0106,1
-2.417886,253.0831,0
-3.896972,253.2124,0
-6.138279,253.4605,0
-8.370007,253.3846,0
-10.80139,253.3658,0
-12.4783,253.4071,0
-14.34468,253.5862,0
-16.83495,254.3305,0
-18.5355,255.0815,1
-20.5983,255.9925,0
-22.33073,256.6339,0
-24.63759,257.3791,0
-26.30054,257.7244,0
-28.71912,257.8736,0
-31.10475,257.4699,0
-32.85047,256.8345,0
-34.98478,255.662,1
-36.77515,254.6618,0
-38.46077,253.8653,0
-40.52005,252.9464,0
-42.23365,252.1708,0
-44.26223,250.8655,0
-45.48149,249.701,1
-47.14395,247.9294,0
-48.91064,246.5415,0
-50.16864,246.9401,0
-50.51223,249.5065,0
-50.53536,251.1947,0
-50.60154,253.6024,0
-50.69963,255.6405,0
-50.77702,257.8886,0
-50.87414,259.7397,0
-51.00611,262.1727,0
-51.08198,263.8596,1
-51.1726,266.1074,0
-51.26275,268.3441,0
-51.21591,270.7853,0
-51.10723,272.4647,0
-51.85488,274.4851,0
-53.3958,275.5267,0
-55.76971,275.828,0
-57.63567,275.8291,0
-57.28946,277.9938,0
-56.16918,279.2559,0
-54.41953,280.917,0
-52.82027,281.8736,0
-50.84033,282.9529,0
-48.85075,284.0143,0
-47.32927,284.7546,0
-45.02145,285.5009,0
-43.2293,286.0346,0
-40.90527,286.7094,1
-39.09576,287.223,0
-36.72984,287.7315,0
-35.04342,287.6451,0
-32.90941,286.9661,0
-31.04138,285.7094,0
-29.57766,284.5457,0
-27.79957,283.1682,0
-26.26683,282.137,0
-23.97686,280.86,1
-22.27829,280.0915,0
-20.05289,279.6536,0
-20.46766,280.7353,0
-22.80062,281.385,0
-24.29164,282.4411,0
-25.7861,284.3494,0
-27.04103,285.7284,0
-28.63568,287.3271,0
-30.42146,288.6947,0
-31.96858,289.7439,0
-33.9739,290.7717,0
-35.71449,291.4695,0
-38.19884,292.2155,0
-39.88346,292.3819,0
-42.09284,292.2564,0
-44.24487,291.8012,0
-45.89122,291.4263,0
-48.09085,290.9297,0
-50.46076,290.4134,0
-52.0999,290.0318,0
-54.46188,289.4566,0
-56.8168,288.8759,0
-58.74279,288.1922,0
-60.22359,287.3828,0
-61.53816,286.0514,0
-63.33862,284.421,0
-64.87852,283.3521,0
-66.32671,281.1965,0
-66.55066,278.9917,0
-68.11417,279.0229,0
-70.19547,279.8329,0
-72.22086,280.8091,0
-74.13602,281.9784,0
-75.69588,282.9895,0
-77.17136,284.1439,0
-78.92374,286.0851,0
-79.86289,287.4934,0
-80.74523,289.3318,0
-81.54466,291.6215,0
-82.31226,293.5107,0
-83.33495,295.0747,0
-84.7075,296.3385,0
-86.03693,298.5552,0
-86.7286,300.1071,0
-87.57071,302.181,0
-88.46235,304.4182,0
-88.99942,306.0363,0
-89.61256,308.5529,0
